book_id,variant
GEN,Gen
EXO,Exod
LEV,Lev
NUM,Num
DEU,Deut
JOS,Josh
JDG,Judg
RUT,Rth
1SA,I Samuel
1SA,First Samuel
2SA,II Samuel
2SA,Second Samuel
1KI,I Kings
1KI,First Kings
2KI,II Kings
2KI,Second Kings
1CH,I Chronicles
2CH,II Chronicles
